"date","party","est","lower","upper"
2023-04-29,"TS.LKD",0.095017659038043,0.0676292107844303,0.137110076010733
2023-04-29,"LVZS",0.0828285277262846,0.0550520009375403,0.131304042559772
2023-04-29,"LSDP",0.156356894295436,0.105994148913906,0.232905708484481
2023-04-29,"LRLS",0.0567256683918664,0.0401021875581261,0.0847371272218344
2023-04-29,"DP",0.0420668276264684,0.0222386358751053,0.102140645719923
2023-04-29,"LP",0.0295533128031521,0.0202677876509184,0.0468371609453924
2023-04-29,"LSDDP.LRP",0.0199803066477013,0.0105304356083394,0.0527561124277038
2023-04-29,"LLRA.KSS",0.0199086708949255,0.0111640268884697,0.0480760693872925
2023-04-29,"TT.LT",0.0306967104346316,0.01949237685412,0.0577764382889284
2023-04-29,"VL",0.0968411388291678,0.0597552124044792,0.173850864274255
2023-04-29,"NA.",0.000442434882572743,0.000209882097820376,0.0010091566592775
2023-04-29,"oth",0.328242483641646,0.273765662446022,0.368276168428379
2023-05-06,"TS.LKD",0.0946015615368595,0.0673593872413674,0.136013184645366
2023-05-06,"LVZS",0.0827975195160582,0.055142438538895,0.131078574586999
2023-05-06,"LSDP",0.157278463086719,0.106371969065502,0.233891129924015
2023-05-06,"LRLS",0.0571072113705352,0.0402731765572463,0.0851977814167892
2023-05-06,"DP",0.0419317986860931,0.0222610588212824,0.101998045557692
2023-05-06,"LP",0.0295135797997509,0.0200833954488442,0.0468322210731667
2023-05-06,"LSDDP.LRP",0.0201719468224346,0.0106246871239936,0.0532833382826985
2023-05-06,"LLRA.KSS",0.0198678501738203,0.0112003343486119,0.0479180661386064
2023-05-06,"TT.LT",0.030498855419429,0.0193970346437191,0.0574673144588684
2023-05-06,"VL",0.0961630952927488,0.0593865431910662,0.173804218769077
2023-05-06,"NA.",0.000443667320820961,0.000212681535553484,0.00101898354143032
2023-05-06,"oth",0.328558466570728,0.274211867295079,0.368761403986974
2023-05-14,"TS.LKD",0.0942003609105483,0.0670599430551286,0.135091442954735
2023-05-14,"LVZS",0.0828031386757864,0.0551456897944202,0.130786064979175
2023-05-14,"LSDP",0.157701891598468,0.106392087257006,0.234533795743979
2023-05-14,"LRLS",0.0574705161501395,0.0406176355373987,0.0857886169244618
2023-05-14,"DP",0.0418911704599075,0.0222545459809298,0.101801977285751
2023-05-14,"LP",0.029423244346812,0.0201513592858104,0.0468164365143359
2023-05-14,"LSDDP.LRP",0.0203161210779059,0.0107091857632976,0.0536467637210993
2023-05-14,"LLRA.KSS",0.019861516936969,0.0112202788960289,0.0480794499006025
2023-05-14,"TT.LT",0.0303319424087047,0.0193053519818028,0.0571569963366316
2023-05-14,"VL",0.0955684043443032,0.0588073454282092,0.173196528968695
2023-05-14,"NA.",0.000442483242324331,0.000214058127101601,0.00100372016746681
2023-05-14,"oth",0.32912732232528,0.274599683908908,0.369115259133088
2023-05-21,"TS.LKD",0.093847050252848,0.0668682278873664,0.134603512841661
2023-05-21,"LVZS",0.08282867073792,0.0552189751453541,0.13080961814772
2023-05-21,"LSDP",0.158145581063488,0.106626253215943,0.235139038440491
2023-05-21,"LRLS",0.0578668560371067,0.0408695210922353,0.0863032386820221
2023-05-21,"DP",0.0417871512560098,0.0222810905485324,0.101920191390447
2023-05-21,"LP",0.029371343987322,0.0201062839497927,0.0465707529166292
2023-05-21,"LSDDP.LRP",0.0205065211452902,0.0107679255600181,0.0542293874904679
2023-05-21,"LLRA.KSS",0.0198579289359018,0.0112319454997776,0.0479405767999503
2023-05-21,"TT.LT",0.0301079345692904,0.0190876246585979,0.0569411303491644
2023-05-21,"VL",0.0948633221812216,0.0584530150849194,0.172635703711635
2023-05-21,"NA.",0.000442317834525156,0.000213782167588319,0.000991211835532221
2023-05-21,"oth",0.32951110801201,0.274522330206234,0.369938845274058
2023-05-28,"TS.LKD",0.0934923766043923,0.0664964519351058,0.133761260954126
2023-05-28,"LVZS",0.0827612651886067,0.0550893024556878,0.130881947048594
2023-05-28,"LSDP",0.158514429520691,0.107033382632323,0.235420664127199
2023-05-28,"LRLS",0.0581678596246385,0.0411244601904044,0.0867150295812799
2023-05-28,"DP",0.0417735268099054,0.0222833594598034,0.101618622873407
2023-05-28,"LP",0.0293420707399983,0.0200336570960915,0.0463257604323732
2023-05-28,"LSDDP.LRP",0.0206452308749246,0.0108276739697598,0.0549823675601837
2023-05-28,"LLRA.KSS",0.0198517443984459,0.011235754082473,0.0479687983670143
2023-05-28,"TT.LT",0.029848291022923,0.0189595971753221,0.0567473964232049
2023-05-28,"VL",0.0942102361587175,0.0580979733856205,0.171353218533012
2023-05-28,"NA.",0.000442367945795287,0.000211103701526025,0.000991089300422052
2023-05-28,"oth",0.330110120519964,0.275497537545065,0.370497966512689
2023-06-04,"TS.LKD",0.0931899417977403,0.0663547675590066,0.13327449451226
2023-06-04,"LVZS",0.0828133519587191,0.0552555417789954,0.130799744225978
2023-06-04,"LSDP",0.158908786311403,0.107119446015984,0.23538831498898
2023-06-04,"LRLS",0.0585490870082006,0.041370534612715,0.0874638223976913
2023-06-04,"DP",0.0417297321845075,0.0222671215293331,0.101197696832809
2023-06-04,"LP",0.0293088356981595,0.01998486464899,0.0462677173482322
2023-06-04,"LSDDP.LRP",0.0208061618834859,0.010942375362296,0.0555725185964183
2023-06-04,"LLRA.KSS",0.0198143345028352,0.0112378412088957,0.0478946006883394
2023-06-04,"TT.LT",0.029604309902117,0.0187847337509094,0.0562415565171873
2023-06-04,"VL",0.0934113380663744,0.0574283016475226,0.170193762241193
