"date","party","res","mandates"
"2024-08-13","NS",0.028398162699075,0
"2024-08-20","TS.LKD",0.180441085657626,16
"2024-08-20","LVZS",0.108522730012114,10
"2024-08-20","LSDP",0.22504825946622,20
"2024-08-20","LRLS",0.105100140933395,9
"2024-08-20","DP",0.0347505221708985,0
"2024-08-20","LP",0.0400455093749681,0
"2024-08-20","LLRA.KSS",0.0274451947380629,0
"2024-08-20","VL",0.0796087304733491,7
"2024-08-20","NA.",0.083650807742363,8
"2024-08-20","NS",0.0283870194310033,0
"2024-08-27","TS.LKD",0.180133065851114,16
"2024-08-27","LVZS",0.107658055882197,10
"2024-08-27","LSDP",0.224129232486405,20
"2024-08-27","LRLS",0.105006287606844,9
"2024-08-27","DP",0.0337129620935189,0
"2024-08-27","LP",0.039495327021314,0
"2024-08-27","LLRA.KSS",0.0273821712865833,0
"2024-08-27","VL",0.0797884952734348,7
"2024-08-27","NA.",0.0873287784570056,8
"2024-08-27","NS",0.0283656240415838,0
"2024-09-03","TS.LKD",0.179668311699383,16
"2024-09-03","LVZS",0.10665932423127,10
"2024-09-03","LSDP",0.222606819810508,20
"2024-09-03","LRLS",0.104911825905987,9
"2024-09-03","DP",0.0327199627367129,0
"2024-09-03","LP",0.0389799709017372,0
"2024-09-03","LLRA.KSS",0.0272976320182347,0
"2024-09-03","VL",0.079932313422906,7
"2024-09-03","NA.",0.0919263067076722,8
"2024-09-03","NS",0.0282975325655885,0
"2024-09-11","TS.LKD",0.178803392427078,16
"2024-09-11","LVZS",0.105536499562251,9
"2024-09-11","LSDP",0.220967290473743,20
"2024-09-11","LRLS",0.104718850344099,9
"2024-09-11","DP",0.0319100268034427,0
"2024-09-11","LP",0.038357128713193,0
"2024-09-11","LLRA.KSS",0.0271893858177168,0
"2024-09-11","VL",0.0800039881914423,7
"2024-09-11","NA.",0.0972263134036796,9
"2024-09-11","NS",0.0282871242633543,0
"2024-09-18","TS.LKD",0.177900348689102,16
"2024-09-18","LVZS",0.104455172816426,9
"2024-09-18","LSDP",0.219051261263316,20
"2024-09-18","LRLS",0.104385792361935,9
"2024-09-18","DP",0.0308374742146295,0
"2024-09-18","LP",0.037684290412554,0
"2024-09-18","LLRA.KSS",0.0271266072196442,0
"2024-09-18","VL",0.0799904772750707,7
"2024-09-18","NA.",0.103418597306684,9
"2024-09-18","NS",0.0281499784406379,0
"2024-09-25","TS.LKD",0.177097546762095,16
"2024-09-25","LVZS",0.103166306655143,9
"2024-09-25","LSDP",0.217048413023036,19
"2024-09-25","LRLS",0.104196620513166,9
"2024-09-25","DP",0.0299552641239457,0
"2024-09-25","LP",0.0371234354148667,0
"2024-09-25","LLRA.KSS",0.0269864755936194,0
"2024-09-25","VL",0.0798111927032122,7
"2024-09-25","NA.",0.109577291707883,10
"2024-09-25","NS",0.0280374535030327,0
"2024-10-02","TS.LKD",0.176288213758781,16
"2024-10-02","LVZS",0.102032448323882,9
"2024-10-02","LSDP",0.215266853875643,19
"2024-10-02","LRLS",0.103836438508481,9
"2024-10-02","DP",0.0289850106596509,0
"2024-10-02","LP",0.0364907785914199,0
"2024-10-02","LLRA.KSS",0.0268603553087292,0
"2024-10-02","VL",0.0798563244163539,7
"2024-10-02","NA.",0.115491994193302,10
"2024-10-02","NS",0.0278915823637569,0
"2024-10-09","TS.LKD",0.175664064565139,15
"2024-10-09","LVZS",0.101044893691872,9
"2024-10-09","LSDP",0.213405308243966,19
"2024-10-09","LRLS",0.103545401369006,9
"2024-10-09","DP",0.028226691861538,0
"2024-10-09","LP",0.0358963976437695,0
"2024-10-09","LLRA.KSS",0.0267005333336917,0
"2024-10-09","VL",0.0803665156710832,7
"2024-10-09","NA.",0.120422735673303,11
"2024-10-09","NS",0.0277274579466318,0
"2024-10-16","TS.LKD",0.174986907414076,15
"2024-10-16","LVZS",0.100078910748083,9
"2024-10-16","LSDP",0.211698576688172,19
"2024-10-16","LRLS",0.103411327198362,9
"2024-10-16","DP",0.0276342546929987,0
"2024-10-16","LP",0.0352579991147791,0
"2024-10-16","LLRA.KSS",0.026727551819317,0
"2024-10-16","VL",0.0808670151319054,7
"2024-10-16","NA.",0.124694247037564,11
"2024-10-16","NS",0.0276432101547428,0
"2024-10-23","TS.LKD",0.174769459845007,15
"2024-10-23","LVZS",0.0994116050205532,9
"2024-10-23","LSDP",0.210121123194423,19
"2024-10-23","LRLS",0.103377651853549,9
"2024-10-23","DP",0.0270554417692173,0
"2024-10-23","LP",0.0346800419339103,0
"2024-10-23","LLRA.KSS",0.0266766750920257,0
"2024-10-23","VL",0.0813526071630259,7
"2024-10-23","NA.",0.128067690515196,11
"2024-10-23","NS",0.0274877036130914,0
"2024-10-30","TS.LKD",0.17469403134873,15
"2024-10-30","LVZS",0.0988966029062895,9
"2024-10-30","LSDP",0.208631223234167,18
